[21, 24, 28, 31, 34, 37]
[28, 32, 36, 40, 44, 48]
[34, 37, 41, 44, 47, 50]
[33, 37, 41, 46, 50, 54]
[8, 9, 10, 11, 12, 13]
[39, 44, 49, 54, 59, 64]
[11, 18, 26, 33, 41, 49]
[10, 11, 13, 15, 17, 19]
[23, 32, 40, 48, 56, 64]
[29, 39, 49, 59, 69, 79]
[10, 20, 30, 39, 49, 59]
[19, 27, 35, 43, 51, 59]
[22, 33, 42, 51, 61, 71]
[31, 40, 49, 58, 67, 76]
[35, 38, 41, 45, 48, 51]
[4, 5, 5, 6, 7, 8]
[10, 17, 24, 31, 38, 45]
[6, 8, 11, 14, 17, 20]
[34, 41, 48, 55, 62, 69]
[13, 20, 27, 34, 41, 48]
[36, 45, 54, 62, 71, 80]
[27, 36, 45, 54, 63, 72]
[20, 26, 33, 40, 47, 54]
[21, 30, 39, 48, 57, 66]
[40, 45, 50, 55, 60, 65]
[34, 40, 46, 52, 58, 64]
[19, 20, 21, 22, 23, 24]
[36, 43, 50, 57, 64, 71]
[18, 20, 22, 24, 26, 28]
[9, 11, 13, 15, 17, 19]
[2, 11, 20, 29, 38, 47]
[19, 29, 39, 49, 59, 69]
[28, 32, 39, 45, 51, 57]
[14, 23, 32, 41, 50, 59]
[29, 30, 31, 32, 33, 34]
[3, 6, 9, 12, 15, 18]
[12, 20, 28, 36, 44, 52]
[32, 39, 46, 53, 60, 67]
[25, 30, 35, 40, 45, 50]
[40, 46, 52, 58, 64, 70]
[38, 40, 42, 44, 46, 48]
[41, 45, 49, 53, 57, 61]
[15, 19, 23, 27, 31, 35]
[19, 28, 38, 47, 56, 65]
[28, 36, 44, 52, 60, 68]
[11, 13, 14, 16, 18, 20]
[23, 23, 24, 25, 26, 27]
[29, 35, 42, 47, 53, 59]
[1, 3, 5, 8, 10, 12]
[2, 6, 10, 14, 18, 22]
[10, 12, 14, 16, 18, 20]
[13, 14, 15, 16, 17, 18]
[38, 45, 52, 59, 66, 73]
[17, 26, 34, 42, 50, 58]
[22, 26, 30, 34, 38, 42]
[24, 27, 31, 34, 37, 40]
[19, 23, 27, 31, 35, 39]
[4, 9, 14, 19, 24, 29]
[6, 7, 8, 9, 10, 11]
[4, 11, 18, 26, 33, 40]
[13, 23, 33, 43, 53, 63]
[33, 37, 41, 45, 49, 53]
[24, 27, 30, 33, 36, 39]
[29, 37, 46, 54, 62, 70]
[30, 34, 38, 42, 46, 50]
[13, 15, 16, 17, 18, 19]
[2, 8, 13, 18, 23, 28]
[15, 22, 29, 36, 43, 50]
[23, 26, 29, 31, 34, 37]
[9, 13, 17, 21, 25, 29]
[20, 25, 31, 36, 41, 46]
[25, 32, 39, 46, 53, 60]
[15, 22, 28, 35, 42, 49]
[25, 26, 27, 28, 29, 30]
[14, 21, 28, 35, 42, 49]
[17, 27, 37, 47, 57, 67]
[31, 35, 41, 46, 51, 56]
[34, 43, 52, 61, 70, 79]
[24, 25, 26, 27, 28, 29]
[22, 31, 40, 49, 58, 67]
[31, 36, 42, 47, 52, 57]
[22, 24, 26, 28, 30, 32]
[7, 13, 20, 27, 34, 41]
[15, 16, 17, 18, 20, 22]
[27, 31, 35, 39, 43, 47]
[15, 22, 28, 34, 40, 46]
[11, 19, 27, 35, 43, 51]
[15, 16, 18, 20, 22, 24]
[5, 13, 21, 30, 38, 46]
[39, 48, 57, 65, 74, 83]
[29, 38, 47, 56, 65, 74]
[37, 46, 55, 64, 73, 82]
[16, 20, 24, 28, 32, 36]
[10, 18, 26, 34, 42, 50]
[15, 23, 31, 39, 47, 55]
[36, 41, 46, 51, 56, 61]
[38, 44, 51, 57, 64, 71]
[39, 41, 43, 46, 48, 50]
[7, 12, 17, 22, 27, 32]
[28, 36, 45, 54, 63, 72]
[18, 28, 38, 48, 58, 68]
[7, 15, 24, 33, 42, 51]
[10, 14, 18, 21, 25, 29]
[32, 40, 47, 54, 61, 68]
[37, 40, 43, 46, 49, 52]
[39, 40, 41, 41, 42, 43]
[2, 11, 17, 24, 32, 40]
[28, 31, 34, 37, 40, 43]
[15, 25, 35, 44, 54, 64]
[36, 42, 48, 54, 60, 66]
[36, 38, 41, 43, 45, 47]
[39, 42, 45, 48, 51, 54]
[15, 24, 32, 40, 49, 58]
[29, 34, 39, 44, 49, 54]
[14, 16, 18, 20, 22, 24]
[17, 26, 34, 43, 51, 59]
[25, 26, 26, 27, 28, 29]
[41, 48, 56, 64, 72, 80]
[21, 29, 37, 45, 53, 61]
[41, 49, 57, 65, 73, 81]
[12, 22, 32, 42, 52, 62]
[10, 13, 17, 20, 23, 26]
[4, 10, 16, 22, 28, 34]
[10, 16, 21, 28, 34, 40]
[30, 41, 51, 60, 70, 80]
[4, 12, 20, 28, 36, 44]
[24, 34, 44, 54, 64, 74]
[41, 43, 45, 47, 49, 51]
[13, 22, 31, 40, 49, 58]
[15, 25, 35, 45, 55, 65]
[1, 5, 10, 15, 19, 23]
[41, 51, 61, 71, 81, 91]
[1, 9, 17, 25, 33, 41]
[38, 46, 54, 62, 70, 78]
[15, 24, 33, 42, 51, 60]
[12, 18, 24, 30, 36, 42]
[2, 8, 14, 20, 26, 32]
[1, 3, 5, 7, 9, 11]
[36, 46, 56, 66, 76, 86]
[7, 8, 9, 10, 11, 12]
[30, 34, 37, 40, 43, 46]
[25, 35, 45, 55, 65, 75]
[26, 30, 34, 38, 42, 46]
[10, 12, 14, 15, 17, 19]
[38, 39, 42, 44, 46, 48]
[41, 46, 51, 56, 61, 66]
[26, 29, 32, 35, 38, 41]
[17, 25, 34, 42, 50, 58]
[1, 6, 11, 16, 21, 26]
[20, 27, 34, 41, 48, 55]
[2, 12, 22, 32, 42, 52]
[23, 30, 37, 44, 51, 58]
[40, 40, 41, 42, 43, 44]
[18, 22, 26, 30, 34, 38]
[5, 8, 11, 14, 17, 20]
[21, 28, 35, 42, 49, 56]
[22, 25, 28, 31, 34, 37]
[35, 43, 52, 60, 68, 76]
[14, 20, 26, 32, 38, 44]
[14, 23, 31, 39, 47, 55]
[5, 13, 21, 29, 37, 45]
[10, 11, 12, 13, 14, 15]
[27, 30, 33, 36, 39, 42]
[12, 15, 18, 21, 24, 27]
[26, 33, 39, 45, 51, 57]
[38, 47, 57, 68, 78, 88]
[25, 31, 37, 42, 48, 54]
[37, 41, 45, 49, 53, 57]
[29, 31, 33, 35, 37, 39]
[35, 45, 55, 64, 74, 84]
[31, 35, 39, 43, 47, 51]
[9, 17, 25, 33, 41, 49]
[40, 48, 56, 64, 72, 80]
[24, 32, 40, 48, 56, 64]
[11, 20, 29, 38, 47, 56]
[13, 22, 31, 41, 50, 59]
[14, 18, 23, 27, 31, 35]
[2, 10, 18, 26, 34, 42]
[30, 33, 36, 40, 43, 46]
[31, 38, 45, 52, 59, 66]
[21, 24, 27, 30, 33, 36]
[39, 48, 57, 66, 75, 84]
[18, 20, 21, 23, 25, 27]
[7, 13, 19, 25, 31, 37]
[5, 7, 9, 12, 14, 16]
[1, 5, 9, 13, 17, 21]
[35, 37, 38, 40, 42, 44]
[10, 14, 18, 22, 26, 30]
[33, 41, 49, 56, 64, 72]
[17, 26, 35, 44, 53, 62]
[24, 28, 32, 36, 40, 44]
[36, 39, 42, 45, 48, 51]
[7, 15, 23, 31, 39, 47]
[12, 14, 16, 18, 20, 22]
[24, 30, 36, 42, 48, 54]
[19, 21, 22, 24, 26, 28]
[18, 26, 34, 42, 50, 58]
[39, 46, 53, 60, 67, 74]
[27, 28, 30, 31, 32, 33]
[5, 9, 13, 17, 21, 25]
[4, 13, 22, 31, 40, 49]
[18, 22, 25, 28, 31, 34]
[34, 36, 38, 40, 42, 44]
[31, 41, 52, 62, 72, 82]
[13, 19, 26, 33, 40, 47]
[13, 20, 26, 32, 38, 44]
[4, 7, 11, 15, 19, 23]
[32, 37, 42, 47, 52, 57]
[19, 24, 29, 34, 39, 44]
[9, 11, 12, 13, 14, 15]
[21, 28, 36, 43, 50, 57]
[7, 14, 21, 28, 35, 42]
[8, 14, 21, 28, 35, 42]
[27, 37, 46, 56, 66, 76]
[1, 2, 3, 4, 5, 6]
[21, 29, 36, 43, 50, 57]
[18, 27, 36, 45, 54, 63]
[12, 17, 22, 26, 31, 36]
[41, 48, 55, 61, 68, 75]
[12, 19, 26, 33, 40, 47]
[4, 11, 19, 27, 35, 43]
[10, 16, 22, 28, 34, 40]
[7, 11, 15, 19, 23, 27]
[25, 34, 44, 53, 62, 71]
[35, 40, 45, 51, 56, 61]
[12, 19, 26, 34, 41, 48]
[36, 45, 55, 64, 73, 82]
[18, 21, 24, 27, 30, 33]
[32, 34, 35, 37, 38, 39]
[13, 18, 23, 29, 34, 39]
[9, 11, 12, 14, 16, 18]
[29, 33, 37, 41, 45, 49]
[39, 40, 42, 44, 46, 48]
[5, 13, 22, 31, 40, 49]
[32, 40, 48, 56, 64, 72]
[30, 38, 45, 53, 61, 69]
[25, 33, 40, 47, 55, 63]
[29, 36, 43, 50, 57, 64]
[32, 35, 38, 42, 45, 48]
[35, 43, 51, 59, 67, 75]
[1, 10, 19, 28, 37, 46]
[23, 28, 33, 37, 42, 47]
[23, 24, 25, 26, 27, 28]
